\fixlen = T
\RowsRetrieved = 374
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:34:29'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003429_31536'
\DATABASE = 'SWIRE ELAIS N1 Region 70um Spring '05 Spitzer Catalog (elaisn1_70_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_QaRET9_31536/Gator/irsa/31536/log.31536.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap4 (mjy)
\ ___ flux for aperture #4 (r=27.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                  |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap4|flag|
|int |char                    |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                        |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                    |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  256 SWIRE2_70_J160529+534933 241.371384 53.825985 16h05m29.13s 53d49m33.55s 2.43e+00 2.35e+00  3.60e-02    20.30     1.07    28.33 1    
  781 SWIRE2_70_J161210+535527 243.044601 53.924381 16h12m10.70s 53d55m27.77s 1.76e+00 1.69e+00  5.54e-01    22.16     0.79     8.18 2    
  838 SWIRE2_70_J161237+535807 243.154358 53.968834 16h12m37.05s 53d58m07.80s 4.46e-01 4.50e-01 -6.84e-02   182.12     1.96   186.30 1    
  713 SWIRE2_70_J161043+535930 242.679718 53.991928 16h10m43.13s 53d59m30.94s 2.56e+00 2.37e+00  5.58e-01    17.52     0.91     9.79 2    
  969 SWIRE2_70_J161301+541002 243.255051 54.167496 16h13m01.21s 54d10m02.99s 8.10e-01 7.63e-01  1.51e-01    55.68     1.00    35.51 1    
 1193 SWIRE2_70_J161343+542904 243.431961 54.484615 16h13m43.67s 54d29m04.61s 2.51e+00 2.50e+00  3.74e-01    20.65     1.09    11.63 1    
 1077 SWIRE2_70_J160622+552002 241.594803 55.334103 16h06m22.75s 55d20m02.77s 9.86e-01 1.04e+00  2.84e-01    73.08     1.60    47.76 2    
 1349 SWIRE2_70_J161339+544756 243.413269 54.799107 16h13m39.18s 54d47m56.79s 2.25e+00 2.34e+00 -5.69e-01    28.54     1.46    16.24 2    
  342 SWIRE2_70_J160740+534229 241.919449 53.708103 16h07m40.67s 53d42m29.17s 2.84e+00 2.88e+00  7.88e-01    18.44     1.14    20.42 1    
  606 SWIRE2_70_J161017+534852 242.573029 53.814716 16h10m17.53s 53d48m52.98s 2.24e+00 2.27e+00 -2.99e-01    24.24     1.17    27.14 1    
  854 SWIRE2_70_J160618+545405 241.575607 54.901550 16h06m18.15s 54d54m05.58s 2.42e+00 2.47e+00  1.91e-01    19.84     1.10    22.40 1    
 1182 SWIRE2_70_J161550+540856 243.959701 54.149002 16h15m50.33s 54d08m56.41s 2.41e+00 2.34e+00  4.00e-01    24.82     1.28    15.04 2    
  769 SWIRE2_70_J161051+540541 242.713501 54.094967 16h10m51.24s 54d05m41.88s 2.33e+00 2.20e+00  8.21e-01    22.50     1.02    10.45 1    
 1209 SWIRE2_70_J161344+543108 243.436905 54.518932 16h13m44.86s 54d31m08.16s 1.87e+00 1.93e+00 -2.12e-01    25.98     1.05    29.60 2    
  581 SWIRE2_70_J160724+541211 241.852951 54.203159 16h07m24.71s 54d12m11.37s 1.12e+00 1.10e+00  6.84e-02    41.64     1.00    31.81 1    
  821 SWIRE2_70_J161247+535448 243.196045 53.913464 16h12m47.05s 53d54m48.47s 1.84e+00 1.77e+00  4.86e-01    23.43     0.96    28.02 2    
 1101 SWIRE2_70_J160855+550112 242.233185 55.020218 16h08m55.96s 55d01m12.78s 1.88e+00 1.83e+00  5.11e-01    30.74     1.21    28.16 2    
 1357 SWIRE2_70_J161226+545946 243.111572 54.996281 16h12m26.78s 54d59m46.61s 1.04e+00 1.08e+00  2.63e-01    53.82     1.28    54.96 2    
  350 SWIRE2_70_J160618+535520 241.578400 53.922333 16h06m18.82s 53d55m20.40s 1.11e+00 1.11e+00  3.35e-01    43.15     1.02    45.69 1    
  862 SWIRE2_70_J161232+540130 243.134582 54.025066 16h12m32.30s 54d01m30.24s 2.80e+00 2.88e+00  2.12e-01    17.17     1.04    11.53 2    
 1198 SWIRE2_70_J161540+541315 243.918442 54.221043 16h15m40.43s 54d13m15.75s 7.74e-01 7.67e-01  1.48e-01    62.76     1.09    43.26 1    
 1438 SWIRE2_70_J161538+544217 243.908798 54.704788 16h15m38.11s 54d42m17.24s 2.19e+00 2.22e+00 -1.30e-01    19.14     0.91     2.59 1    
  777 SWIRE2_70_J160931+541827 242.381241 54.307518 16h09m31.50s 54d18m27.06s 4.72e-01 4.90e-01  1.15e-01   115.07     1.27    94.50 1    
 1025 SWIRE2_70_J161046+543537 242.693497 54.593636 16h10m46.44s 54d35m37.09s 1.99e+00 2.00e+00  4.50e-01    25.75     1.10     6.43 1    
  901 SWIRE2_70_J161117+541628 242.822647 54.274654 16h11m17.44s 54d16m28.75s 9.65e-01 1.01e+00 -1.73e-01    67.74     1.50    59.41 2    
  662 SWIRE2_70_J160933+540145 242.387985 54.029167 16h09m33.12s 54d01m45.00s 1.58e+00 1.48e+00  5.58e-01    29.12     0.91    26.07 1    
 1254 SWIRE2_70_J161250+544414 243.212418 54.737358 16h12m50.98s 54d44m14.49s 1.24e+00 1.22e+00  2.34e-01    27.26     0.72    18.86 2    
  855 SWIRE2_70_J160519+550226 241.330444 55.040764 16h05m19.31s 55d02m26.75s 1.88e+00 1.87e+00  9.00e-02    22.27     0.91    19.54 1    
 1295 SWIRE2_70_J161123+550157 242.848969 55.032608 16h11m23.75s 55d01m57.39s 8.71e-01 8.42e-01  2.27e-01    58.81     1.12    54.77 1    
  418 SWIRE2_70_J160552+540650 241.468933 54.114082 16h05m52.54s 54d06m50.70s 2.74e-01 2.74e-01  6.84e-02   631.04     4.61   606.22 1    
  842 SWIRE2_70_J160718+544406 241.828354 54.735191 16h07m18.80s 54d44m06.69s 2.63e+00 2.59e+00  7.02e-01    21.34     1.21    27.72 1    
 1074 SWIRE2_70_J161500+540500 243.752838 54.083546 16h15m00.68s 54d05m00.77s 7.45e-01 7.20e-01  1.84e-01    77.14     1.20    62.10 2    
 1655 SWIRE2_70_J161455+551608 243.731689 55.268921 16h14m55.61s 55d16m08.12s 2.13e+00 2.08e+00  3.56e-01    19.26     0.90    21.43 1    
  355 SWIRE2_70_J160744+534321 241.934723 53.722660 16h07m44.33s 53d43m21.58s 2.13e+00 2.22e+00 -3.49e-01    24.36     1.18    17.71 1    
  803 SWIRE2_70_J160947+541930 242.449142 54.325005 16h09m47.79s 54d19m30.02s 2.45e+00 2.52e+00  4.57e-01    20.88     1.10    16.96 1    
  979 SWIRE2_70_J160853+544734 242.224243 54.792866 16h08m53.82s 54d47m34.32s 1.05e+00 1.00e+00  3.28e-01    58.81     1.32    62.64 1    
  509 SWIRE2_70_J160918+534820 242.328079 53.805557 16h09m18.74s 53d48m20.01s 2.54e+00 2.38e+00  2.48e-01    21.69     1.15    34.48 1    
 1045 SWIRE2_70_J160757+550246 241.988449 55.046375 16h07m57.23s 55d02m46.95s 1.22e+00 1.16e+00  3.20e-01    43.62     1.17    44.33 2    
  822 SWIRE2_70_J160801+543643 242.005707 54.612091 16h08m01.37s 54d36m43.53s 1.28e+00 1.24e+00 -1.58e-01    41.41     1.14    45.67 1    
  521 SWIRE2_70_J160855+535216 242.229660 53.871353 16h08m55.12s 53d52m16.87s 1.68e+00 1.65e+00 -1.19e-01    24.59     0.89    33.25 1    
  705 SWIRE2_70_J161152+534757 242.970154 53.799347 16h11m52.84s 53d47m57.65s 2.77e+00 2.66e+00  6.95e-01    19.02     1.10    22.55 1    
  953 SWIRE2_70_J160438+551923 241.158783 55.323074 16h04m38.11s 55d19m23.07s 2.96e+00 2.82e+00 -1.07e+00    17.86     1.17    17.02 1    
  967 SWIRE2_70_J160414+552437 241.060654 55.410480 16h04m14.56s 55d24m37.73s 4.00e-01 3.82e-01 -5.40e-02   222.72     2.38   198.01 1    
 1175 SWIRE2_70_J161240+543658 243.167297 54.616283 16h12m40.15s 54d36m58.62s 1.92e+00 1.89e+00  4.82e-01    21.46     0.90    25.38 2    
  298 SWIRE2_70_J160445+540204 241.188248 54.034660 16h04m45.18s 54d02m04.78s 1.90e+00 1.91e+00 -4.68e-01    34.80     1.43    47.10 1    
  738 SWIRE2_70_J160531+544707 241.381348 54.785408 16h05m31.52s 54d47m07.47s 3.13e+00 3.24e+00  6.80e-01    23.20     1.55    46.82 2    
 1234 SWIRE2_70_J161543+541618 243.929367 54.271679 16h15m43.05s 54d16m18.04s 2.49e+00 2.53e+00  2.38e-01    25.17     1.37    19.06 2    
 1730 SWIRE2_70_J161521+552044 243.840897 55.345715 16h15m21.82s 55d20m44.57s 1.92e+00 1.74e+00  5.72e-01    24.71     0.95    34.33 1    
  707 SWIRE2_70_J161030+540054 242.627701 54.015247 16h10m30.65s 54d00m54.89s 2.45e+00 2.37e+00 -3.64e-01    21.69     1.16    16.44 1    
  851 SWIRE2_70_J160442+550731 241.175919 55.125465 16h04m42.22s 55d07m31.67s 3.19e+00 3.21e+00  5.65e-01    28.77     1.98    37.88 1    
 1027 SWIRE2_70_J161423+540352 243.598557 54.064541 16h14m23.65s 54d03m52.35s 8.60e-01 8.86e-01  1.87e-01    60.67     1.18    44.19 1    
  804 SWIRE2_70_J161207+535901 243.029755 53.983749 16h12m07.14s 53d59m01.50s 1.85e+00 1.78e+00  5.65e-01    21.46     0.81    26.37 1    
 1012 SWIRE2_70_J160848+545150 242.204056 54.863892 16h08m48.97s 54d51m50.01s 1.71e+00 1.71e+00 -4.14e-01    39.44     1.50    34.59 2    
 1284 SWIRE2_70_J161042+550649 242.675278 55.113861 16h10m42.07s 55d06m49.90s 1.40e+00 1.38e+00  3.78e-01    46.28     1.38    46.14 2    
  879 SWIRE2_70_J160537+550215 241.405563 55.037594 16h05m37.34s 55d02m15.34s 2.33e+00 2.22e+00  7.13e-01    21.34     0.98    21.59 1    
 1095 SWIRE2_70_J160602+552527 241.510071 55.424271 16h06m02.42s 55d25m27.38s 5.62e-01 5.11e-01  1.84e-01   104.05     1.17   214.72 1    
  442 SWIRE2_70_J160838+534523 242.162338 53.756390 16h08m38.96s 53d45m23.00s 2.21e+00 2.04e+00  7.85e-01    21.46     0.94    20.10 1    
  650 SWIRE2_70_J161125+534448 242.855957 53.746758 16h11m25.43s 53d44m48.33s 1.11e+00 1.11e+00 -1.40e-01    38.98     0.95    46.61 2    
  874 SWIRE2_70_J161358+534948 243.492325 53.830261 16h13m58.16s 53d49m48.94s 1.86e+00 1.88e+00  1.87e-01    31.20     1.29    33.65 1    
 1106 SWIRE2_70_J160718+551517 241.825760 55.254852 16h07m18.18s 55d15m17.47s 2.79e+00 2.73e+00  5.72e-01    21.34     1.27    43.89 1    
 1439 SWIRE2_70_J161407+545539 243.533173 54.927731 16h14m07.96s 54d55m39.83s 2.07e+00 2.16e+00 -1.80e-01    18.91     0.88    16.39 1    
 1338 SWIRE2_70_J161434+543825 243.642685 54.640381 16h14m34.24s 54d38m25.37s 1.06e+00 1.07e+00 -2.23e-01    53.94     1.38    41.31 2    
 1626 SWIRE2_70_J161557+550315 243.989166 55.054371 16h15m57.40s 55d03m15.74s 1.57e+00 1.52e+00  3.53e-01    23.20     0.76    22.07 2    
  843 SWIRE2_70_J161310+535313 243.292389 53.887131 16h13m10.17s 53d53m13.67s 8.21e-01 8.32e-01 -1.44e-01    80.16     1.57    63.60 1    
 1019 SWIRE2_70_J160708+550606 241.787262 55.101860 16h07m08.94s 55d06m06.70s 2.99e+00 2.92e+00 -5.69e-01    25.17     1.61    22.66 2    
  788 SWIRE2_70_J160424+550212 241.103424 55.036881 16h04m24.82s 55d02m12.77s 2.22e+00 2.10e+00  6.77e-01    21.34     0.97    17.17 2    
 1004 SWIRE2_70_J161250+541514 243.210465 54.253990 16h12m50.51s 54d15m14.36s 1.34e+00 1.31e+00  2.41e-01    33.06     1.00    26.14 1    
 1371 SWIRE2_70_J161517+543623 243.821930 54.606590 16h15m17.26s 54d36m23.72s 2.49e+00 2.66e+00 -6.26e-01    19.84     1.13    12.21 1    
  752 SWIRE2_70_J161005+541029 242.524216 54.174759 16h10m05.81s 54d10m29.13s 5.26e-01 5.15e-01  1.19e-01   106.60     1.28   105.37 1    
  952 SWIRE2_70_J161048+542724 242.703644 54.456902 16h10m48.87s 54d27m24.85s 2.36e+00 2.44e+00 -1.84e-01    17.28     0.88    20.29 1    
 1384 SWIRE2_70_J161045+551744 242.688995 55.295814 16h10m45.36s 55d17m44.93s 1.48e+00 1.47e+00  1.94e-01    37.24     1.19    29.72 3    
  205 SWIRE2_70_J160458+534720 241.242462 53.789074 16h04m58.19s 53d47m20.67s 1.56e+00 1.56e+00  1.80e-01    46.98     1.60    34.19 1    
  709 SWIRE2_70_J160602+543938 241.512085 54.660755 16h06m02.90s 54d39m38.72s 1.92e+00 1.89e+00  2.52e-01    21.34     0.89    24.29 1    
  997 SWIRE2_70_J160812+545525 242.051071 54.923718 16h08m12.26s 54d55m25.38s 1.79e+00 1.81e+00 -4.46e-01    36.89     1.50    21.47 1    
 1484 SWIRE2_70_J161432+545850 243.637405 54.980614 16h14m32.98s 54d58m50.21s 1.64e+00 1.66e+00 -3.96e-02    32.02     1.20    61.67 1    
 1184 SWIRE2_70_J161428+542149 243.616974 54.363686 16h14m28.07s 54d21m49.27s 1.63e+00 1.55e+00  3.49e-01    38.05     1.25    25.89 1    
 1592 SWIRE2_70_J161407+551451 243.529358 55.247681 16h14m07.05s 55d14m51.65s 1.02e+00 9.29e-01  3.02e-01    50.34     1.05    42.46 2    
  213 SWIRE2_70_J160513+534601 241.307953 53.767048 16h05m13.91s 53d46m01.37s 2.48e+00 2.47e+00  4.64e-01    19.14     1.01    29.19 1    
 1277 SWIRE2_70_J160902+551936 242.261185 55.326672 16h09m02.68s 55d19m36.02s 2.26e+00 2.28e+00  6.84e-01    26.45     1.28    26.29 2    
  798 SWIRE2_70_J161041+541032 242.671997 54.175747 16h10m41.28s 54d10m32.69s 9.86e-01 9.76e-01  8.28e-02    57.19     1.28    59.63 2    
 1014 SWIRE2_70_J160741+550155 241.922272 55.031994 16h07m41.35s 55d01m55.18s 7.67e-01 7.63e-01 -1.80e-01    74.94     1.36    74.75 1    
 1326 SWIRE2_70_J160907+552427 242.281632 55.407757 16h09m07.59s 55d24m27.93s 5.36e-01 5.44e-01  1.22e-01   133.40     1.69   139.90 1    
  489 SWIRE2_70_J160725+540133 241.856781 54.025951 16h07m25.63s 54d01m33.42s 2.26e+00 2.25e+00 -7.92e-02    23.78     1.18     5.22 1    
  907 SWIRE2_70_J161442+534629 243.675339 53.774803 16h14m42.08s 53d46m29.29s 1.07e+00 9.90e-01  2.99e-01    62.06     1.40    53.66 1    
  740 SWIRE2_70_J160904+541722 242.269241 54.289490 16h09m04.62s 54d17m22.16s 7.31e-01 7.27e-01  1.30e-01    64.96     1.04    66.79 1    
  964 SWIRE2_70_J160908+544313 242.287094 54.720367 16h09m08.90s 54d43m13.32s 3.46e+00 3.55e+00 -9.14e-01    20.07     1.52    11.88 1    
 1236 SWIRE2_70_J161551+541535 243.964325 54.259861 16h15m51.44s 54d15m35.50s 6.12e-01 5.94e-01  1.12e-01    91.99     1.29    91.40 2    
 1587 SWIRE2_70_J161454+550741 243.725739 55.128067 16h14m54.18s 55d07m41.04s 1.21e+00 1.21e+00  6.12e-02    28.65     0.76    21.34 2    
 1652 SWIRE2_70_J161551+550723 243.962509 55.123070 16h15m51.00s 55d07m23.05s 2.72e+00 2.78e+00 -2.34e-01    22.85     1.39    11.25 1    
  928 SWIRE2_70_J160830+544350 242.127258 54.730785 16h08m30.54s 54d43m50.83s 5.18e+00 5.26e+00 -1.16e+00    16.59     1.98    13.67 1    
 1128 SWIRE2_70_J161406+542017 243.525970 54.338291 16h14m06.23s 54d20m17.85s 1.11e+00 1.14e+00 -2.16e-01    33.52     0.82    49.12 1    
 1352 SWIRE2_70_J161254+545525 243.226196 54.923847 16h12m54.29s 54d55m25.85s 6.77e-01 6.59e-01  2.27e-01   103.12     1.53    99.52 1    
  373 SWIRE2_70_J160547+540208 241.448990 54.035828 16h05m47.76s 54d02m08.98s 1.93e+00 1.93e+00 -2.52e-01    44.78     1.96    46.22 1    
  933 SWIRE2_70_J161156+541505 242.986176 54.251545 16h11m56.68s 54d15m05.56s 2.26e+00 2.23e+00 -4.25e-01    18.68     0.90    11.35 1    
 1421 SWIRE2_70_J161030+552350 242.628525 55.397312 16h10m30.85s 55d23m50.32s 9.04e-01 9.22e-01  2.05e-01    69.25     1.46    60.24 2    
 1653 SWIRE2_70_J161417+552127 243.571075 55.357540 16h14m17.06s 55d21m27.14s 2.36e+00 2.42e+00  5.33e-01    23.20     1.16    14.36 2    
  918 SWIRE2_70_J161114+541906 242.810944 54.318337 16h11m14.63s 54d19m06.01s 2.40e+00 2.42e+00 -1.48e-01    18.10     0.99     5.33 2    
  601 SWIRE2_70_J160545+542711 241.441193 54.453148 16h05m45.89s 54d27m11.33s 3.16e+00 3.09e+00  8.50e-01    17.05     1.15    11.94 2    
