\fixlen = T
\RowsRetrieved = 154
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2019-05-07 00:35:02'
\DataTag = 'ADS/IRSA.Gator#2019/0507/003502_31569'
\DATABASE = 'SWIRE ELAIS N1 Region 160um Spring '05 Spitzer Catalog (elaisn1_160_cat_s05)'
\EQUINOX = 'J2000'
\SKYAREA = 'box with center (242.51300,+54.57359) and length 6235.99 arcsec.'
\StatusFile = '/workspace/TMP_FbExUm_31569/Gator/irsa/31569/log.31569.html'
\SQL = 'WHERE (no constraints)
\SQL = 'SELECT (11 column names follow in next row.)'
\ 
\ 
\ cntr
\ ___ entry counter (key) number (unique within table)
\ object
\ ___ object name designation
\ ra (deg)
\ ___ right ascension (J2000 decimal deg)
\ dec (deg)
\ ___ declination (J2000 decimal deg)
\ clon
\ ___ Right ascention in Sexagesimal format.
\ clat
\ ___ Declination in Sexagesimal format.
\ unc_ra (arcsec)
\ ___ position uncertainty in RA
\ unc_dec (arcsec)
\ ___ position uncertainty in Dec
\ unc_rd (arcsec)
\ ___ covariance position uncertainty
\ flux_prf (mjy)
\ ___ point-response-function flux
\ uncf_prf (mjy)
\ ___ point-response-function flux uncertainty
\ flux_ap3 (mjy)
\ ___ flux for aperture #3 (r=60.0")
\ flag
\ ___ extraction notes and flags
\ 
\
|cntr|object                   |ra        |dec      |clon        |clat        |unc_ra  |unc_dec |unc_rd   |flux_prf|uncf_prf|flux_ap3|flag|
|int |char                     |double    |double   |char        |char        |double  |double  |double   |double  |double  |double  |char|
|    |                         |deg       |deg      |            |            |arcsec  |arcsec  |arcsec   |mjy     |mjy     |mjy     |    |
|null|null                     |null      |null     |null        |null        |null    |null    |null     |null    |null    |null    |null|
  622 SWIRE2_160_J161302+552119 243.259964 55.355316 16h13m02.39s 55d21m19.14s 1.34e+00 1.21e+00  4.00e-01   579.15     8.54   918.92 1    
  295 SWIRE2_160_J160801+543637 242.007812 54.610504 16h08m01.87s 54d36m37.81s 3.32e+00 3.21e+00  2.92e-01   168.48     5.32   183.57 1    
  216 SWIRE2_160_J161318+534538 243.325668 53.760624 16h13m18.16s 53d45m38.25s 3.78e+00 3.64e+00  9.97e-01   121.68     4.14   162.63 1    
  233 SWIRE2_160_J160905+541719 242.271515 54.288700 16h09m05.16s 54d17m19.32s 1.66e+00 1.44e+00 -2.09e-01   326.43     4.88   378.26 1    
  449 SWIRE2_160_J160604+552528 241.517838 55.424602 16h06m04.28s 55d25m28.57s 9.07e-01 7.60e-01  2.20e-01  1216.80    10.31  1435.59 1    
  283 SWIRE2_160_J161522+534821 243.842987 53.805920 16h15m22.32s 53d48m21.31s 5.00e+00 4.72e+00 -5.29e-01   122.85     5.57   194.80 1    
  108 SWIRE2_160_J160808+535239 242.037308 53.877773 16h08m08.95s 53d52m39.98s 2.19e+00 2.20e+00 -4.32e-01   242.19     4.93   103.72 1    
  208 SWIRE2_160_J161108+535813 242.787109 53.970360 16h11m08.91s 53d58m13.30s 1.83e+00 1.71e+00  5.51e-01   342.81     6.27   352.29 1    
  225 SWIRE2_160_J160937+541254 242.408127 54.215244 16h09m37.95s 54d12m54.88s 2.10e+00 2.03e+00  3.38e-01   283.14     5.72   312.98 1    
  409 SWIRE2_160_J160415+552433 241.063568 55.409256 16h04m15.26s 55d24m33.32s 1.97e+00 1.76e+00 -3.82e-01   491.40     8.93   442.84 1    
  259 SWIRE2_160_J161326+535549 243.361893 53.930325 16h13m26.85s 53d55m49.17s 1.74e+00 1.73e+00 -6.19e-01   303.03     5.05   294.37 1    
  186 SWIRE2_160_J160932+540136 242.386597 54.026901 16h09m32.78s 54d01m36.84s 5.40e+00 5.11e+00  1.44e+00   114.54     5.66   132.21 1    
  458 SWIRE2_160_J161030+550132 242.628494 55.025745 16h10m30.84s 55d01m32.68s 4.18e+00 4.00e+00  1.48e+00   191.88     8.59   182.64 1    
  412 SWIRE2_160_J161507+541836 243.780335 54.310184 16h15m07.28s 54d18m36.66s 3.53e+00 3.23e+00 -1.50e+00   184.86     5.91   144.38 1    
  437 SWIRE2_160_J160623+551958 241.597260 55.332977 16h06m23.34s 55d19m58.72s 3.64e+00 3.48e+00  1.46e+00   155.61     5.60   193.28 1    
  502 SWIRE2_160_J160926+551639 242.360855 55.277538 16h09m26.61s 55d16m39.14s 3.26e+00 3.47e+00 -8.78e-01   159.12     5.29    66.91 1    
  183 SWIRE2_160_J160553+542222 241.474869 54.372795 16h05m53.97s 54d22m22.06s 3.05e+00 2.88e+00  1.02e+00   181.35     5.38    85.78 1    
  320 SWIRE2_160_J161547+535351 243.946609 53.897633 16h15m47.19s 53d53m51.48s 2.61e+00 2.49e+00  1.24e+00   242.19     5.93   259.62 1    
