243.09239,875132.604,54.14697,194929.092,33.49,0.56,30.88,0.59,0,0,0,0,-99,-9
242.8288,874183.68,54.27804,195400.944,27.85,0.77,25.1,0.43,0,0,0,0,0,0
242.5999,873359.64,54.43689,195972.804,47.49,0.11,46.83,0.49,55.52,0.03,0,0,-99,-9
241.42053,869113.908,54.47759,196119.324,88.22,0.27,83.87,0.18,57.69,0.1,128.55,0.13,-99,-9
241.50311,869411.196,54.43396,195962.256,46.49,0.88,28.26,0.77,0,0,0,0,0,0
241.41446,869092.056,54.49043,196165.548,26.77,0.15,20,0.74,0,0,0,0,0,0
241.43484,869165.424,54.43093,195951.348,54.3,0.53,36.27,0.64,-99,-9,0,0,0,0
241.37183,868938.588,54.50688,196224.768,111.53,0.04,94.16,0.04,70.25,0,427.26,0.03,518.16,0.54
241.51903,869468.508,54.42784,195940.224,29.91,0.27,22.56,0.64,0,0,0,0,0,0
241.07875,867883.5,54.72436,197007.696,256.75,0.98,157.07,0.88,111.77,0.13,62.71,0.41,0,0
241.47,869292,54.50365,196213.14,63.7,0.64,66.68,0.91,63.07,0.03,98.67,0.62,509.9,0.14
241.65811,869969.196,54.39886,195835.896,28.16,0.97,29.66,0.91,0,0,0,0,0,0
241.43105,869151.78,54.43613,195970.068,43.36,0.96,23.7,0.67,0,0,0,0,0,0
241.46202,869263.272,54.46854,196086.744,30,0.92,20.8,0.63,0,0,0,0,0,0
241.25745,868526.82,54.56556,196436.016,119.42,0.04,115.92,0.07,81.01,0.01,400.85,0.48,649.06,0.45
241.41264,869085.504,54.48949,196162.164,12.03,0.09,13.78,0.59,0,0,0,0,0,0
241.27127,868576.572,54.5553,196399.08,30.82,0.2,22.73,0.84,0,0,0,0,0,0
241.16438,868191.768,54.6541,196754.76,18.58,0.59,13.72,0.3,0,0,0,0,0,0
241.56471,869632.956,54.40339,195852.204,97,0.05,70.01,0.05,79.2,0,73.93,0.08,-99,-9
241.53761,869535.396,54.45272,196029.792,263.34,0.03,201.9,0.04,96.84,0,89.52,0.62,0,0
241.19945,868318.02,54.58831,196517.916,22.21,0.79,25.96,0.57,0,0,0,0,0,0
241.13052,868069.872,54.62792,196660.512,15.9,0.91,13.47,0.62,0,0,0,0,0,0
241.29784,868672.224,54.53238,196316.568,58.45,0.88,49.76,0.87,0,0,0,0,0,0
241.10606,867981.816,54.65655,196763.58,31.13,0.77,34.55,0.54,0,0,35.75,0.35,0,0
241.15256,868149.216,54.61416,196610.976,46.52,0.54,30.64,0.53,0,0,0,0,0,0
241.86157,870701.652,53.71692,193380.912,12.08,0.65,17.56,0.66,0,0,0,0,0,0
