243.163,54.148,8.1,9.1,11,12.8,13.4,25,26.7,26.4,22.8,17.9,11.9,26,0.03
243.146,54.488,125.7,130.2,136.6,143.4,142.6,247.8,268.3,256.1,210.2,160.5,138.2,156.4,0.84
243.13,54.301,5.1,5.4,5.1,4.2,4.3,9.1,9.2,7.4,4.6,3.5,4.2,9.8,0.08
243.139,54.942,458.9,544.8,756,1099.3,1417.1,535.3,664.6,848,1023,1117.4,1893.3,703.3,0.03
243.115,54.25,3.1,3.3,3.5,3.2,3.4,6.8,6.8,5.8,3.9,3.1,2.5,7.3,0.26
243.12,55.11,42,43.7,47.2,53.7,64.6,71.7,73.4,67.3,57.4,51.8,60.5,55.5,0.06
243.111,54.641,17.7,18.2,18.8,19.1,18.5,40.9,40.5,34.4,25.6,18.5,18.2,32.9,0.39
243.105,54.39,66.8,69.7,72.6,76.3,76.7,113.4,120.1,109.8,89,69.2,70.5,87.9,0.95
243.099,54.561,85.8,91.5,95.3,98.5,96.2,148.8,163.5,153.1,122.8,91.3,90.8,119.4,0.81
243.1,54.651,87.8,89.2,92,95.2,95.7,162.4,168.6,154,123.6,95.6,90.4,114.2,0.94
243.096,54.644,15.8,16.9,19.1,22.4,27.8,41.3,42.6,39.8,34.3,31.6,50.5,45.9,0.02
243.094,54.753,46.8,50.4,55.1,59.6,65.7,80.3,85.4,79.7,65.3,55.4,60.4,64.3,0.4
243.09,54.781,72.2,78.1,87.6,96.4,101.4,118.2,129.7,126.4,106.9,86.3,98.4,88.3,0.18
243.08,54.161,431.9,484.1,574,673.5,742.7,384.7,472.6,542.5,544.3,503.9,885.7,314.4,0.03
243.073,54.295,28.4,29.3,31.2,32.3,32.5,52,52.4,46.7,36.2,27.4,27.4,47,0.79
243.059,54.08,42.9,44.9,48.8,53.5,54.2,85.3,88.5,81.8,68,52.6,49.9,67.3,0.66
243.064,54.926,42.1,41.5,41,40.4,38.8,90.4,87.7,73.7,54.3,39,36.4,71.6,0.98
243.033,54.206,23,24.6,26.5,27.6,27.1,44.4,46.1,41.3,31.8,23.3,24.5,38.9,0.22
243.036,54.485,141.2,152.6,167.2,180.1,181.9,192,213,213.3,181.6,142.8,176.1,138.3,0.21
243.03,54.328,9.8,10.9,13.1,15.1,13.6,20.4,21.8,21.4,18,12.1,12.4,21.7,0.02
243.037,55.268,73.2,78.6,85.3,92.1,96.1,173,187.9,178.3,147.4,117.4,96.6,121.2,0.62
243.013,54.759,57.3,62.4,71.6,78.7,78.5,103.6,112.8,111.1,92.5,69.7,62.5,90.8,0.3
242.996,54.404,232.6,255.4,296.4,347.1,398.5,270,308.5,337.4,319.2,287.8,557.9,236,0.03
242.997,54.738,21.8,23.2,25.4,27.4,28.9,48.2,49.6,44.8,35.8,28.4,24.4,40.5,0.47
242.979,54.522,23.4,24.4,24.4,24.3,24.4,47.7,48.5,43.3,33.4,25.1,19.3,46.1,0.95
242.973,53.983,3.5,3.4,3.3,3.6,2.7,7,6.5,5.2,4.1,2.3,2.1,7.4,0.75
242.972,54.145,30.1,30.2,29.8,28.8,27.1,52.9,52.1,43.5,31.5,22.2,25.9,45.3,0.98
242.963,54.196,60.2,78.8,107.2,129.8,137.4,118.8,150.3,178.6,167.6,137.3,423.2,180.2,0.03
242.958,54.788,10.6,10.7,11,11.5,11.9,29,28.2,23.8,18.1,14.3,10.3,25,0.87
242.954,54.529,12.6,12.7,12.2,11.8,10.9,30.7,29.9,23.8,17.6,11.9,9.4,28.2,0.98
